name,Unique Users
CO_POSPAGO_COL-OFERTAS-SMARTLY-B2C_23-10-25_DIS-DIS_LDS-WEB,1
CO_POSPAGO_COL-MAIL-POSPAGO-AUTOMATIZACION-CARRITO-ABANDONADO-MAGENTO-FECHA-JUNIO-B2C_24-05-29_EMAIL_VNT_0_NA,1
CO_POSPAGO_COL-F3-SP-ESCALERA-WINBACK-B2C_24-09-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-OFERTAS-B2C_23-09-01_SEM_LDS-WEB_AON_RMKT_CATEGORY,1
CO_TERMINALES_COL-C2C-XIAOMI-REDMI-NOTE-13-PRO-OTROS-CUPO-MENOR-4M-B2C_24-09-01_SMS_VNT_0_NA,1
CO_TERMINALES_COL-MOTO-EDGE-30-FUSION-LIBRES-TERMINALES-TIPIFICACIONES-B2C_24-09-01_SMS_VNT_0_NA,1
CO_TERMINALES_COL-MARATON-DE-OFERTAS-BANCOS-B2C_23-12-14_SMS_VNT_0_NA,1
CO_TERMINALES_COL-LANZAMIENTO-IPHONE-16-2-LIBRES-OTROS-SOLO-B2C_24-10-01_SMS_VNT_0_NA,1
CO_TERMINALES_COL-LANZAMIENTO-XIAOMI-14T-PRO-LIBRES-B2C_24-10-12_SMS_VNT_0_NA,1
CO_TERMINALES_COL-SAMSUNG-Z-FOLD-5-SEG-BASE-BR-BM-OTROS-MAYOR4M-B2C_24-04-12_SMS_VNT_0_NA,1
CO_TERMINALES_COL-SAMSUNG-S24-SEG-BASE-BR-BM-OTROS-MAYOR4M-B2C_24-05-03_SMS_VNT_0_NA,1
CO_TERMINALES_COL-OFERTA-AON-B2C_24-06-04_DIS_TRF,1
CO_TERMINALES_COL-FABRICANTE-VIVO-SMARTLY-B2C_24-07-10_SOC_TRF,1
CO_TERMINALES_COL-FINANCIAMIENTO-LIBRES-BASE_MA_MB_OTROS-B2C_24-07-02_SMS_VNT_0_NA,1
CO_TERMINALES_COL-HONOR-X7A-LIBRES-BASE-MA-MB-IPHONE-B2C_24-04-16_SMS_VNT_0_NA,1
CO_TERMINALES_COL-FABRICANTES-XIAOMI-B2C_24-04-23_SEM_TRF_SNL_ABT_CATEGORY,1
CO_TERMINALES_COL-FABRICANTE-VIVO-B2C_24-07-10_DIS-DGEN_TRF,1
app_bannerpopup_ter_iphoneaon_masiva_septiembre,1
addi,1
CO_TERMINALES_COL-TERMINALES-FM-B2C_24-08-15_DIS_TRF,1
Tab_Accesorios_App,1
CO_TERMINALES_COL-SAMSUNG-A53-LIBRES-BASE-MA-MB-OTROS-B2C_24-06-14_SMS_VNT_0_NA,1
CO_TERMINALES_COL-OPPO-A57-128GB-SEG-BANCOS-ALIADOS-B2C_23-10-26_SMS_VNT_0_NA,1
app_boton_renueva_tu_equipo_lanzamientos,1
app_boton_ofertas_movistar_total,1
app_pusapp_ter_automaticasAON_libres_mayo,1
app_pushapp_ter_FacturaiPhoneAON_septiembre,1
app_pushapp_ter_madrugon_octubre,1
app_pushapp_ter_compras_navideñas_nov,1
app_pushapp_ter_masivaiPhone_addi_1junio,1
app_boton_sitiopublico_nueva_sim,1
app_carrusel_ofertas_ter_samsungA15_128gb_junio,1
app_boton_Recomendados_Para_Ti,1
carrusel_ofertas_app,1
app_pushapp_ter_samsungs21fe5g_22nov,1
app_pushapp_ter_masivaiphoneaon_28julio,1
celulares_mas_vendidos,1
internet_fibra_optica,1
mms_rtd_babysitting,1
https://www.movistar.com.co/legales-preferencial-arena#fibraTrios,1
elegiapps_fibra,1
tab_desde400_lprentasmedias,1
simdigital,1
whatsapp_intencion_ilimidatos_nov,1
web_lppalanca_siempreganas,1
whatsapp_intencion_pos_bts_enero,1
whatsapp_notificacion_fibra_carritos_grupodot_octubre,1
whatsapp_notificacion_pos_ilimidatos_feb,1
whatsapp_notificacion_ter_iphone11_julio,1
(direct),1614
CO_POSPAGO_COL-OFERTAS-LIBRES-B2C_24-01-04_PMAX_LDS-WEB_AON_ABT,910
CO_POSPAGO_COL-OFERTAS-VAC-B2C_24-01-01_VID-ACT_LDS-WEB,424
CO_HOGAR_COL-FIBRA-OFERTAS-B2C_22-09-05_PMAX_VNT_AON_ABT,355
CO_POSPAGO_COL-OFERTAS-GDN-RESPONSIVE-B2C_24-07-09_DIS-RDA_LDS-WEB,210
(organic),172
CO_POSPAGO_COL-OFERTAS-B2C_23-12-01_PMAX_LDS-WEB_AON_ABT,102
CO_POSPAGO_COL-OFERTA-CO-TT-B2C_24-01-01_SOC_VNT,97
CO_POSPAGO_COL-OFERTA-CO-ESP-TT-B2C_24-10-25_SOC_TRF,94
CO_HOGAR_COL-OFERTAS-B2C_24-01-01_VID-ACT_VNT,86
CO_POSPAGO_COL-OFERTAS-B2C_24-07-16_PMAX_LDS-WEB_AON_ABT,59
CO_CONVERGENCIA_COL-MOVISTAR-TOTAL-NU-CORE-B2C_24-03-01_PMAX_LDS-WEB_AON_GN,56
CO_POSPAGO_COL-OFERTA-CO-B2C_24-01-01_SOC_VNT,51
CO_POSPAGO_COL-OFERTAS-VAC-BF-B2C_24-10-10_VID-ACT_LDS-WEB,51
CO_POSPAGO_COL-OFERTA-CO-TABOOLA-B2C_24-01-24_DIS_VNT,49
CO_POSPAGO_COL-F2-MAG-ESCALERA-V1-PORTABILIDAD-TIGO-B2C_24-11-01_SMS_VNT_0_NA,43
CO_POSPAGO_COL-OFERTAS-DEMAND-B2C_24-01-01_DIS-DGEN_LDS-WEB,39
CO_POSPAGO_COL-OFERTA-MOVIL-LIBRES-SMARTLY-FB-B2C_24-01-05_SOC_VNT,31
CO_MARCA_COL-MULTIPRODUCTO-B2C_23-03-15_SEM_TRF_AON_ABT_BRAND,31
CO_HOGAR_COL-OFERTAS-FIBRA-CIUDADES-B2C_24-01-01_DIS-DGEN_VNT,29
CO_POSPAGO_COL-VENTA-AUTOMATICA-MOVIL-BI-B2C_24-02-20_DIS_VNT,25
CO_HOGAR_COL-ASISTIDO-B2C_24-05-15_PMAX_LDS-WEB_AON_GN,24
CO_TERMINALES_COL-OFERTA-B2C_24-08-09_DIS_VNT,22
App_pospago_seccion_ofertas_boton_ilimitados,22
CO_HOGAR_COL-OFERTAS-FIBRA-CIUDADES-B2C_24-09-22_DIS-DGEN_VNT,22
whatsapp_intencion_pospagoauto,21
CO_POSPAGO_COL-OFERTA-CO-B2C_24-04-08_SOC_VNT,20
CO_POSPAGO_COL-OFERTAS-PLANES-B2C_23-10-01_SEM_LDS-WEB_AON_ABT_BRAND,19
CO_POSPAGO_COL-AUTOMATICO-B2C_24-10-16_PMAX_VNT_AON_GN,18
CO_POSPAGO_COL-AUTOMATICO-PLANES-B2C_23-04-27_SEM_VNT_AON_ABT_BRAND,18
CO_TERMINALES_COL-OFERTA-GENERICA-SA-B2C_24-01-01_DIS-DGEN_LDS-WEB,18
(referral),18
CO_POSPAGO_COL-AFILIADO-TABOOLA-OFERTAS-B2C_24-08-01_DIS_VNT,18
CO_POSPAGO_COL-AUTOMATICO-PORTABILIDAD-B2C_24-05-09_SEM_VNT_AON_ABT_CONQUER,14
CO_POSPAGO_COL-ASISTIDA-B2C_24-09-24_PMAX_LDS-WEB_AON_GN,14
CO_HOGAR_COL-OFERTAS-FIBRA-CIUDADES-B2C_23-03-16_DIS-DIS_VNT,14
